Tair,QHouDem,PPV,PELDem,QTWW,Tp,Tmin,f, C_grid
0.4199916586637399,4316.422329846273,228.48378142041926,0.9629328763629337,0.105,40.0,40.0,0.13,0.35
0.4446970503498422,4284.4166838331785,224.043635522314,0.7377987146627771,0.105,25.0,25.0,0.2,0.35
0.4694024420359445,4252.411037820083,219.60348962420872,0.5126645529626206,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,4220.4053918069885,215.16334372610345,0.2875303912624641,0.0,0.0,0.0,0.0,0.35
0.5188132254081492,4198.005682006278,210.89912977339165,0.2871591398822285,0.0,0.0,0.0,0.0,0.35
0.5435186170942515,4175.605972205569,206.63491582067985,0.286787888501993,0.0,0.0,0.0,0.0,0.35
0.568224008780354,4153.2062624048585,202.37070186796805,0.2864166371217574,0.0,0.0,0.0,0.0,0.35
0.5929294004664563,4130.806552604148,198.10648791525625,0.28604538574152183,0.0,0.0,0.0,0.0,0.35
0.568224008780354,4123.318366482588,159.48507726803211,0.25748450218061486,0.0,0.0,0.0,0.0,0.35
0.5435186170942515,4115.830180361028,120.86366662080795,0.22892361861970792,0.105,25.0,25.0,0.2,0.35
0.5188132254081492,4108.3419942394685,82.2422559735838,0.20036273505880098,0.105,40.0,40.0,0.13,0.35
0.49410783372204686,4100.853808117909,43.620845326359635,0.171801851497894,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4101.843548079616,32.715633994769725,0.2569324141570805,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,4102.833288041324,21.810422663179818,0.34206297681626696,3.605,40.0,10.0,6.87,0.35
0.3458754836054328,4103.823028003031,10.90521133158991,0.42719353947545347,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4104.812767964739,0.0,0.51232410213464,0.0,0.0,0.0,0.0,0.35
0.27175930854712577,4075.006739585085,0.0,0.5105303639871778,0.0,0.0,0.0,0.0,0.35
0.24705391686102346,4045.2007112054316,0.0,0.5087366258397156,0.105,25.0,25.0,0.2,0.35
0.2223485251749211,4015.3946828257776,0.0,0.5069428876922534,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,3985.588654446124,0.0,0.5051491495447912,0.0,0.0,0.0,0.0,0.35
0.12352695843051173,4012.266360785765,0.0,0.5988220970676412,0.0,0.0,0.0,0.0,0.35
0.0494107833722047,4038.944067125406,0.0,0.6924950445904914,0.105,25.0,25.0,0.2,0.35
-0.024705391686102335,4065.621773465047,0.0,0.7861679921133414,0.0,0.0,0.0,0.0,0.35
-0.09882156674440938,4092.299479804688,0.0,0.8798409396361915,0.0,0.0,0.0,0.0,0.35
0.0,4277.777490296255,0.0,1.209337262000728,0.0,0.0,0.0,0.0,0.35
0.09882156674440938,4463.255500787821,0.0,1.538833584365265,0.105,25.0,25.0,0.2,0.35
0.19764313348881873,4648.733511279387,0.0,1.8683299067298016,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4834.211521770953,0.0,2.1978262290943382,0.0,0.0,0.0,0.0,0.35
0.3458754836054328,4857.169513384727,0.0,1.9631111824617244,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,4880.1275049985,0.0,1.7283961358291107,0.105,25.0,25.0,0.2,0.35
0.4446970503498422,4903.085496612273,0.0,1.493681089196497,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4926.043488226047,0.0,1.2589660425638831,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4901.75052483699,0.0,1.037232914442669,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4877.457561447933,0.0,0.8154997863214553,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4853.1645980588755,0.0,0.5937666582002413,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4828.871634669818,0.0,0.3720335300790274,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4793.475800135496,0.0,0.3067915564779772,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,4758.079965601173,0.0,0.2415495828769269,0.105,25.0,25.0,0.2,0.35
0.3458754836054328,4722.68413106685,0.0,0.17630760927587666,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4687.288296532527,0.0,0.11106563567482643,0.0,0.0,0.0,0.0,0.35
0.3211700919193305,4606.930977060519,0.0,0.10142583302606178,0.0,0.0,0.0,0.0,0.35
0.34587548360543285,4526.573657588511,0.0,0.09178603037729714,1.4,40.0,40.0,2.67,0.35
0.37058087529153516,4446.216338116503,0.0,0.0821462277285325,0.0,0.0,0.0,0.0,0.35
0.3952862669776375,4365.859018644494,0.0,0.07250642507976786,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4341.328352783148,0.0,0.07256723606066609,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4316.797686921802,0.0,0.07262804704156434,0.0,0.0,0.0,0.0,0.35
0.4694024420359445,4292.267021060455,0.0,0.07268885802246258,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4267.736355199108,0.0,0.07274966900336081,0.0,0.0,0.0,0.0,0.35
0.4694024420359445,4252.921896270333,0.0,0.07243169121715515,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4238.107437341558,0.0,0.07211371343094947,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4223.292978412783,0.0,0.0717957356447438,0.0,0.0,0.0,0.0,0.35
0.3952862669776375,4208.478519484007,0.0,0.07147775785853813,0.0,0.0,0.0,0.0,0.35
0.34587548360543285,4200.281781618877,0.0,0.10670185133825717,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4192.085043753748,0.0,0.1419259448179762,0.0,0.0,0.0,0.0,0.35
0.24705391686102346,4183.888305888619,0.0,0.17715003829769527,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4175.691568023489,0.0,0.2123741317774143,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4171.50643694089,0.0,0.1932472334741081,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4167.3213058582905,0.0,0.1741203351708019,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4163.136174775691,0.0,0.15499343686749567,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4158.951043693092,0.0,0.13586653856418948,0.0,0.0,0.0,0.0,0.35
0.14823235011661406,4156.220747439952,0.0,0.12017626774920541,0.0,0.0,0.0,0.0,0.35
0.09882156674440938,4153.490451186812,0.0,0.10448599693422134,0.0,0.0,0.0,0.0,0.35
0.0494107833722047,4150.7601549336705,0.0,0.08879572611923728,0.0,0.0,0.0,0.0,0.35
0.0,4148.02985868053,0.0,0.0731054553042532,0.0,0.0,0.0,0.0,0.35
0.04941078337220469,4143.176018058434,0.0,0.36166061786618114,0.0,0.0,0.0,0.0,0.35
0.09882156674440938,4138.322177436339,0.0,0.650215780428109,0.0,0.0,0.0,0.0,0.35
0.14823235011661406,4133.468336814243,0.0,0.9387709429900369,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4128.614496192147,0.0,1.2273261055519649,0.105,10.0,25.0,0.2,0.35
0.2223485251749211,4118.806370825046,0.0,1.2754806087962631,0.105,25.0,25.0,0.2,0.35
0.24705391686102346,4108.998245457944,0.0,1.3236351120405612,3.605,40.0,10.0,6.87,0.35
0.2717593085471258,4099.190120090842,0.0,1.3717896152848592,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4089.381994723741,0.0,1.4199441185291575,0.105,25.0,25.0,0.2,0.35
0.3458754836054328,4027.8238368212938,15.578087682831386,1.1523957438343349,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,3966.265678918846,31.156175365662772,0.884847369139512,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,3904.7075210163985,46.73426304849416,0.6172989944446893,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,3843.149363113951,62.312350731325544,0.3497506197498665,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,3842.860190505158,160.62804263085292,0.525087463775004,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,3842.5710178963645,258.94373453038025,0.7004243078001418,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,3842.281845287571,357.25942642990765,0.8757611518252792,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,3841.9926726787776,455.575118329435,1.051097995850417,0.315,55.0,10.0,3.0,0.35
0.49410783372204686,4012.3857406096045,437.90410916299487,0.9757166920384625,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4182.778808540432,420.23309999655476,0.9003353882265079,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4353.171876471259,402.5620908301146,0.8249540844145535,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,4523.5649444020855,384.89108166367447,0.749572780602599,0.735,55.0,10.0,0.93,0.35
0.49410783372204686,4539.6422992705275,386.08770057037697,0.6113602054055932,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4555.719654138969,387.2843194770794,0.47314763020858736,0.105,40.0,10.0,0.2,0.35
0.49410783372204686,4571.797009007412,388.4809383837819,0.3349350550115815,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4587.874363875854,389.6775572904844,0.1967224798145757,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,4562.287023548703,366.6210786581245,0.4133293471797156,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4536.699683221552,343.56460002576455,0.6299362145448555,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4511.112342894401,320.5081213934047,0.8465430819099954,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4485.525002567249,297.45164276104475,1.0631499492751353,0.0,0.0,0.0,0.0,0.35
0.4694024420359445,4451.250745890279,281.3197139004147,1.094379221472124,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4416.976489213308,265.18778503978467,1.1256084936691129,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4382.702232536338,249.0558561791546,1.1568377658661015,0.0,0.0,0.0,0.0,0.35
0.3952862669776375,4348.4279758593675,232.92392731852453,1.1880670380630902,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4316.422329846273,228.48378142041926,0.9629328763629337,0.105,40.0,40.0,0.13,0.35
0.4446970503498422,4284.4166838331785,224.043635522314,0.7377987146627771,0.105,25.0,25.0,0.2,0.35
0.4694024420359445,4252.411037820083,219.60348962420872,0.5126645529626206,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,4220.4053918069885,215.16334372610345,0.2875303912624641,0.0,0.0,0.0,0.0,0.35
0.5188132254081492,4198.005682006278,210.89912977339165,0.2871591398822285,0.0,0.0,0.0,0.0,0.35
0.5435186170942515,4175.605972205569,206.63491582067985,0.286787888501993,0.0,0.0,0.0,0.0,0.35
0.568224008780354,4153.2062624048585,202.37070186796805,0.2864166371217574,0.0,0.0,0.0,0.0,0.35
0.5929294004664563,4130.806552604148,198.10648791525625,0.28604538574152183,0.0,0.0,0.0,0.0,0.35
0.568224008780354,4123.318366482588,159.48507726803211,0.25748450218061486,0.0,0.0,0.0,0.0,0.35
0.5435186170942515,4115.830180361028,120.86366662080795,0.22892361861970792,0.105,25.0,25.0,0.2,0.35
0.5188132254081492,4108.3419942394685,82.2422559735838,0.20036273505880098,0.105,40.0,40.0,0.13,0.35
0.49410783372204686,4100.853808117909,43.620845326359635,0.171801851497894,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4101.843548079616,32.715633994769725,0.2569324141570805,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,4102.833288041324,21.810422663179818,0.34206297681626696,3.605,40.0,10.0,6.87,0.35
0.3458754836054328,4103.823028003031,10.90521133158991,0.42719353947545347,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4104.812767964739,0.0,0.51232410213464,0.0,0.0,0.0,0.0,0.35
0.27175930854712577,4075.006739585085,0.0,0.5105303639871778,0.0,0.0,0.0,0.0,0.35
0.24705391686102346,4045.2007112054316,0.0,0.5087366258397156,0.105,25.0,25.0,0.2,0.35
0.2223485251749211,4015.3946828257776,0.0,0.5069428876922534,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,3985.588654446124,0.0,0.5051491495447912,0.0,0.0,0.0,0.0,0.35
0.12352695843051173,4012.266360785765,0.0,0.5988220970676412,0.0,0.0,0.0,0.0,0.35
0.0494107833722047,4038.944067125406,0.0,0.6924950445904914,0.105,25.0,25.0,0.2,0.35
-0.024705391686102335,4065.621773465047,0.0,0.7861679921133414,0.0,0.0,0.0,0.0,0.35
-0.09882156674440938,4092.299479804688,0.0,0.8798409396361915,0.0,0.0,0.0,0.0,0.35
0.0,4277.777490296255,0.0,1.209337262000728,0.0,0.0,0.0,0.0,0.35
0.09882156674440938,4463.255500787821,0.0,1.538833584365265,0.105,25.0,25.0,0.2,0.35
0.19764313348881873,4648.733511279387,0.0,1.8683299067298016,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4834.211521770953,0.0,2.1978262290943382,0.0,0.0,0.0,0.0,0.35
0.3458754836054328,4857.169513384727,0.0,1.9631111824617244,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,4880.1275049985,0.0,1.7283961358291107,0.105,25.0,25.0,0.2,0.35
0.4446970503498422,4903.085496612273,0.0,1.493681089196497,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4926.043488226047,0.0,1.2589660425638831,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4901.75052483699,0.0,1.037232914442669,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4877.457561447933,0.0,0.8154997863214553,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4853.1645980588755,0.0,0.5937666582002413,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4828.871634669818,0.0,0.3720335300790274,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4793.475800135496,0.0,0.3067915564779772,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,4758.079965601173,0.0,0.2415495828769269,0.105,25.0,25.0,0.2,0.35
0.3458754836054328,4722.68413106685,0.0,0.17630760927587666,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4687.288296532527,0.0,0.11106563567482643,0.0,0.0,0.0,0.0,0.35
0.3211700919193305,4606.930977060519,0.0,0.10142583302606178,0.0,0.0,0.0,0.0,0.35
0.34587548360543285,4526.573657588511,0.0,0.09178603037729714,1.4,40.0,40.0,2.67,0.35
0.37058087529153516,4446.216338116503,0.0,0.0821462277285325,0.0,0.0,0.0,0.0,0.35
0.3952862669776375,4365.859018644494,0.0,0.07250642507976786,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4341.328352783148,0.0,0.07256723606066609,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4316.797686921802,0.0,0.07262804704156434,0.0,0.0,0.0,0.0,0.35
0.4694024420359445,4292.267021060455,0.0,0.07268885802246258,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4267.736355199108,0.0,0.07274966900336081,0.0,0.0,0.0,0.0,0.35
0.4694024420359445,4252.921896270333,0.0,0.07243169121715515,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4238.107437341558,0.0,0.07211371343094947,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4223.292978412783,0.0,0.0717957356447438,0.0,0.0,0.0,0.0,0.35
0.3952862669776375,4208.478519484007,0.0,0.07147775785853813,0.0,0.0,0.0,0.0,0.35
0.34587548360543285,4200.281781618877,0.0,0.10670185133825717,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4192.085043753748,0.0,0.1419259448179762,0.0,0.0,0.0,0.0,0.35
0.24705391686102346,4183.888305888619,0.0,0.17715003829769527,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4175.691568023489,0.0,0.2123741317774143,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4171.50643694089,0.0,0.1932472334741081,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4167.3213058582905,0.0,0.1741203351708019,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4163.136174775691,0.0,0.15499343686749567,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4158.951043693092,0.0,0.13586653856418948,0.0,0.0,0.0,0.0,0.35
0.14823235011661406,4156.220747439952,0.0,0.12017626774920541,0.0,0.0,0.0,0.0,0.35
0.09882156674440938,4153.490451186812,0.0,0.10448599693422134,0.0,0.0,0.0,0.0,0.35
0.0494107833722047,4150.7601549336705,0.0,0.08879572611923728,0.0,0.0,0.0,0.0,0.35
0.0,4148.02985868053,0.0,0.0731054553042532,0.0,0.0,0.0,0.0,0.35
0.04941078337220469,4143.176018058434,0.0,0.36166061786618114,0.0,0.0,0.0,0.0,0.35
0.09882156674440938,4138.322177436339,0.0,0.650215780428109,0.0,0.0,0.0,0.0,0.35
0.14823235011661406,4133.468336814243,0.0,0.9387709429900369,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,4128.614496192147,0.0,1.2273261055519649,0.105,10.0,25.0,0.2,0.35
0.2223485251749211,4118.806370825046,0.0,1.2754806087962631,0.105,25.0,25.0,0.2,0.35
0.24705391686102346,4108.998245457944,0.0,1.3236351120405612,3.605,40.0,10.0,6.87,0.35
0.2717593085471258,4099.190120090842,0.0,1.3717896152848592,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4089.381994723741,0.0,1.4199441185291575,0.105,25.0,25.0,0.2,0.35
0.3458754836054328,4027.8238368212938,15.578087682831386,1.1523957438343349,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,3966.265678918846,31.156175365662772,0.884847369139512,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,3904.7075210163985,46.73426304849416,0.6172989944446893,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,3843.149363113951,62.312350731325544,0.3497506197498665,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,3842.860190505158,160.62804263085292,0.525087463775004,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,3842.5710178963645,258.94373453038025,0.7004243078001418,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,3842.281845287571,357.25942642990765,0.8757611518252792,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,3841.9926726787776,455.575118329435,1.051097995850417,0.315,55.0,10.0,3.0,0.35
0.49410783372204686,4012.3857406096045,437.90410916299487,0.9757166920384625,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4182.778808540432,420.23309999655476,0.9003353882265079,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4353.171876471259,402.5620908301146,0.8249540844145535,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,4523.5649444020855,384.89108166367447,0.749572780602599,0.735,55.0,10.0,0.93,0.35
0.49410783372204686,4539.6422992705275,386.08770057037697,0.6113602054055932,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4555.719654138969,387.2843194770794,0.47314763020858736,0.105,40.0,10.0,0.2,0.35
0.49410783372204686,4571.797009007412,388.4809383837819,0.3349350550115815,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4587.874363875854,389.6775572904844,0.1967224798145757,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,4562.287023548703,366.6210786581245,0.4133293471797156,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4536.699683221552,343.56460002576455,0.6299362145448555,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4511.112342894401,320.5081213934047,0.8465430819099954,0.0,0.0,0.0,0.0,0.35
0.49410783372204686,4485.525002567249,297.45164276104475,1.0631499492751353,0.0,0.0,0.0,0.0,0.35
0.4694024420359445,4451.250745890279,281.3197139004147,1.094379221472124,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4416.976489213308,265.18778503978467,1.1256084936691129,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4382.702232536338,249.0558561791546,1.1568377658661015,0.0,0.0,0.0,0.0,0.35
0.3952862669776375,4348.4279758593675,232.92392731852453,1.1880670380630902,0.0,0.0,0.0,0.0,0.35
0.4199916586637399,4316.422329846273,228.48378142041926,0.9629328763629337,0.105,40.0,40.0,0.13,0.35
0.4446970503498422,4284.4166838331785,224.043635522314,0.7377987146627771,0.105,25.0,25.0,0.2,0.35
0.4694024420359445,4252.411037820083,219.60348962420872,0.5126645529626206,0.105,25.0,25.0,0.2,0.35
0.49410783372204686,4220.4053918069885,215.16334372610345,0.2875303912624641,0.0,0.0,0.0,0.0,0.35
0.5188132254081492,4198.005682006278,210.89912977339165,0.2871591398822285,0.0,0.0,0.0,0.0,0.35
0.5435186170942515,4175.605972205569,206.63491582067985,0.286787888501993,0.0,0.0,0.0,0.0,0.35
0.568224008780354,4153.2062624048585,202.37070186796805,0.2864166371217574,0.0,0.0,0.0,0.0,0.35
0.5929294004664563,4130.806552604148,198.10648791525625,0.28604538574152183,0.0,0.0,0.0,0.0,0.35
0.568224008780354,4123.318366482588,159.48507726803211,0.25748450218061486,0.0,0.0,0.0,0.0,0.35
0.5435186170942515,4115.830180361028,120.86366662080795,0.22892361861970792,0.105,25.0,25.0,0.2,0.35
0.5188132254081492,4108.3419942394685,82.2422559735838,0.20036273505880098,0.105,40.0,40.0,0.13,0.35
0.49410783372204686,4100.853808117909,43.620845326359635,0.171801851497894,0.0,0.0,0.0,0.0,0.35
0.4446970503498422,4101.843548079616,32.715633994769725,0.2569324141570805,0.0,0.0,0.0,0.0,0.35
0.39528626697763747,4102.833288041324,21.810422663179818,0.34206297681626696,3.605,40.0,10.0,6.87,0.35
0.3458754836054328,4103.823028003031,10.90521133158991,0.42719353947545347,0.0,0.0,0.0,0.0,0.35
0.29646470023322813,4104.812767964739,0.0,0.51232410213464,0.0,0.0,0.0,0.0,0.35
0.27175930854712577,4075.006739585085,0.0,0.5105303639871778,0.0,0.0,0.0,0.0,0.35
0.24705391686102346,4045.2007112054316,0.0,0.5087366258397156,0.105,25.0,25.0,0.2,0.35
0.2223485251749211,4015.3946828257776,0.0,0.5069428876922534,0.0,0.0,0.0,0.0,0.35
0.19764313348881876,3985.588654446124,0.0,0.5051491495447912,0.0,0.0,0.0,0.0,0.35
0.12352695843051173,4012.266360785765,0.0,0.5988220970676412,0.0,0.0,0.0,0.0,0.35
0.0494107833722047,4038.944067125406,0.0,0.6924950445904914,0.105,25.0,25.0,0.2,0.35
-0.024705391686102335,4065.621773465047,0.0,0.7861679921133414,0.0,0.0,0.0,0.0,0.35
-0.09882156674440938,4092.299479804688,0.0,0.8798409396361915,0.0,0.0,0.0,0.0,0.35
