Tair,QHouDem,PPV,PELDem,QTWW,Tp,Tmin,f
0.400819991408342,4332.480808036743,0.0,0.06977472349730683,0.0,0.0,0.0,0.0
0.4258712408713634,4308.137685961848,0.0,0.06983324340603364,0.0,0.0,0.0,0.0
0.45092249033438475,4283.794563886952,0.0,0.06989176331476044,0.0,0.0,0.0,0.0
0.4759737397974061,4259.451441812057,0.0,0.06995028322348723,0.0,0.0,0.0,0.0
0.5010249892604275,4235.108319737162,0.0,0.07000880313221404,0.0,0.0,0.0,0.0
0.4759737397974061,4220.407121481269,0.0,0.06970280525566203,0.0,0.0,0.0,0.0
0.45092249033438475,4205.705923225377,0.0,0.06939680737911003,0.0,0.0,0.0,0.0
0.4258712408713634,4191.004724969484,0.0,0.06909080950255801,0.0,0.0,0.0,0.0
0.400819991408342,4176.303526713592,0.0,0.068784811626006,0.0,0.0,0.0,0.0
0.3507174924822993,4168.169455196961,0.0,0.1026818266875925,0.0,0.0,0.0,0.0
0.30061499355625654,4160.035383680331,0.0,0.136578841749179,0.0,0.0,0.0,0.0
0.25051249463021374,4151.9013121637,0.0,0.1704758568107655,0.0,0.0,0.0,0.0
0.200409995704171,4143.767240647069,0.0,0.204372871872352,0.0,0.0,0.0,0.0
0.200409995704171,4139.614106059569,0.0,0.1859665852707706,0.0,0.0,0.0,0.0
0.200409995704171,4135.46097147207,0.0,0.1675602986691892,0.0,0.0,0.0,0.0
0.200409995704171,4131.307836884571,0.0,0.14915401206760778,0.0,0.0,0.0,0.0
0.200409995704171,4127.154702297071,0.0,0.13074772546602637,0.0,0.0,0.0,0.0
0.15030749677812827,4124.445279920748,0.0,0.115648590368565,0.0,0.0,0.0,0.0
0.1002049978520855,4121.735857544425,0.0,0.10054945527110362,0.0,0.0,0.0,0.0
0.05010249892604274,4119.026435168103,0.0,0.08545032017364225,0.0,0.0,0.0,0.0
0.0,4116.31701279178,0.0,0.07035118507618088,0.0,0.0,0.0,0.0
0.05010249892604275,4111.500281135835,0.0,0.34803494426481424,0.0,0.0,0.0,0.0
0.1002049978520855,4106.68354947989,0.0,0.6257187034534476,0.0,0.0,0.0,0.0
0.15030749677812827,4101.866817823944,0.0,0.9034024626420809,0.0,0.0,0.0,0.0
0.200409995704171,4097.050086167999,0.0,1.1810862218307143,0.0,0.0,0.0,0.0
0.22546124516719238,4087.31694665655,0.0,1.2274264895425013,0.0,0.0,0.0,0.0
0.25051249463021374,4077.5838071451008,0.0,1.2737667572542883,0.0,0.0,0.0,0.0
0.27556374409323514,4067.850667633652,0.0,1.3201070249660753,0.735,55.0,10.0,0.93
0.3006149935562565,4058.1175281222027,0.0,1.3664472926778624,0.105,25.0,25.0,0.2
0.3507174924822992,3997.029999516377,15.987950847821764,1.1089788842444386,0.105,10.0,25.0,0.2
0.400819991408342,3935.9424709105506,31.97590169564353,0.851510475811015,0.0,0.0,0.0,0.0
0.45092249033438475,3874.8549423047243,47.96385254346529,0.5940420673775914,0.0,0.0,0.0,0.0
0.5010249892604275,3813.7674136988985,63.95180339128706,0.33657365894416774,0.0,0.0,0.0,0.0
0.5010249892604275,3813.4804518954006,164.85420435745868,0.5053046341271958,0.0,0.0,0.0,0.0
0.5010249892604275,3813.1934900919027,265.7566053236303,0.674035609310224,0.0,0.0,0.0,0.0
0.5010249892604275,3812.906528288405,366.6590062898019,0.8427665844932519,0.0,0.0,0.0,0.0
0.5010249892604275,3812.619566484907,467.5614072559735,1.01149755967628,0.0,0.0,0.0,0.0
0.5010249892604275,3981.709931858641,449.4254696661613,0.9389562693760185,0.105,40.0,40.0,0.13
